word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
abduction frame,,,[医] 外展支架,,,,,0,0,,,
abduction of the foot,,,[医] 足外展,,,,,0,0,,,
abduction of woman,,,[法] 勾引妇女,,,,,0,0,,,
abduction splint,,,[医] 外展夹,,,,,0,0,,,
abductions,əb'dʌkʃn,n. the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife\nn. (physiology) moving of a body part away from the central axis of the body,"n. 诱拐, 绑架；诱导",,,,,0,0,0:abduction/1:s,,
abductive,,,[计] 诱导的,,,,,0,0,,,
abductive inferencing,,,[计] 诱导推理,,,,,0,0,,,
abductive reasoning,,,[计] 诱导推理,,,,,0,0,,,
abductor,æb'dʌktә,n. a muscle that draws a body part away from the median line,"n. 诱拐者, 绑架者, 外展肌\n[医] 展肌, 外展肌",,,,,38016,23683,s:abductors,,
abductor digiti quinti,,,[医] 小指(趾)展肌,,,,,0,0,,,
abductor hallucis,,,[医] ы展肌,,,,,0,0,,,
abductor muscle,,,[医] 展肌,,,,,0,0,,,
abductor paralysis,,,[医] 展肌麻痹,,,,,0,0,,,
abductor pollicis,,,[医] 拇展肌,,,,,0,0,,,
abductors,,plural of abductor\nn. a muscle that draws a body part away from the median line,"(abductor 的复数) n. 诱拐者, 绑架者, 外展肌\n[医] 展肌, 外展肌",,,,,0,0,0:abductor/1:s,,
abducts,æbˈdʌkts,v take away to an undisclosed location against their will and usually in order to extract a ransom\nv pull away from the body,"v. 劫持, 诱拐( abduct的第三人称单数 ); <生理>使（肢体等）外展",,,,,0,0,0:abduct/1:3,,
abdul,,,n. 阿卜杜勒（人名）,,,,,13220,0,,,
abdul-aziz,,,n. (Abdulaziz)人名；(哈萨、塔吉、吉尔、乌兹、土库、阿塞)阿卜杜勒阿齐兹,,,,,0,0,,,
abdul-hamid,,,n. (Abdulhamid)人名；(阿拉伯)阿卜杜勒-哈米德,,,,,0,0,,,
abdul-jabbar,æbˌdu:ldʒəˈbɑ:,, 阿布杜勒-贾霸，卡里姆（（生于 1947） 美国篮球运动员。作为洛杉矶湖人队的中锋(1975-1989年），他在1984年成为美国篮球协会(NBA)历史上得分最多的运动员),,,,,0,0,,,
abdul-rahman,,,n. (Abdulrahman)人名；(阿拉伯、坦桑)阿卜杜勒拉赫曼,,,,,0,0,,,
abdulaziz,,,n. (Abdulaziz)人名；(哈萨、塔吉、吉尔、乌兹、土库、阿塞)阿卜杜勒阿齐兹,,,,,0,0,,,
abdulla,,,n. (Abdulla)人名；(阿拉伯)阿卜杜拉；(伊朗、阿塞、哈萨、塔吉、吉尔、乌兹、土库)阿卜杜拉,,,,,0,0,,,
Abdullah,",æb'dʌlə",,n. 阿布杜拉（人名）,,,,,17851,0,,,
abdullahi,,,n. (Abdullahi)人名；(阿拉伯)阿卜杜拉希,,,,,0,0,s:abdullahi/0:abdullahi/1:s,,
abdulrahman,,,n. (Abdulrahman)人名；(阿拉伯、坦桑)阿卜杜勒拉赫曼,,,,,0,0,,,
abduls,,,n. 阿卜杜勒（人名）,,,,,0,0,,,
